Algorithm,Size,Time
BinarySearchI,100,328.000000
BinarySearchI,100,84.000000
BinarySearchI,100,34.000000
BinarySearchI,100,103.000000
BinarySearchI,100,98.000000
BinarySearchI,100,54.000000
BinarySearchI,100,102.000000
BinarySearchI,100,32.000000
BinarySearchI,100,32.000000
BinarySearchI,100,32.000000
BinarySearchI,100,35.000000
BinarySearchI,100,31.000000
BinarySearchI,100,32.000000
BinarySearchI,100,36.000000
BinarySearchI,100,33.000000
BinarySearchI,100,34.000000
BinarySearchI,100,31.000000
BinarySearchI,100,38.000000
BinarySearchI,100,33.000000
BinarySearchI,100,38.000000
BinarySearchI,100,45.000000
BinarySearchI,100,50.000000
BinarySearchI,100,39.000000
BinarySearchI,100,53.000000
BinarySearchI,100,46.000000
BinarySearchI,100,34.000000
BinarySearchI,100,46.000000
BinarySearchI,100,32.000000
BinarySearchI,100,45.000000
BinarySearchI,100,33.000000
BinarySearchI,1000,136.000000
BinarySearchI,1000,101.000000
BinarySearchI,1000,84.000000
BinarySearchI,1000,86.000000
BinarySearchI,1000,94.000000
BinarySearchI,1000,83.000000
BinarySearchI,1000,87.000000
BinarySearchI,1000,75.000000
BinarySearchI,1000,126.000000
BinarySearchI,1000,88.000000
BinarySearchI,1000,78.000000
BinarySearchI,1000,83.000000
BinarySearchI,1000,91.000000
BinarySearchI,1000,68.000000
BinarySearchI,1000,81.000000
BinarySearchI,1000,70.000000
BinarySearchI,1000,80.000000
BinarySearchI,1000,83.000000
BinarySearchI,1000,71.000000
BinarySearchI,1000,85.000000
BinarySearchI,1000,82.000000
BinarySearchI,1000,79.000000
BinarySearchI,1000,72.000000
BinarySearchI,1000,65.000000
BinarySearchI,1000,76.000000
BinarySearchI,1000,61.000000
BinarySearchI,1000,75.000000
BinarySearchI,1000,85.000000
BinarySearchI,1000,83.000000
BinarySearchI,1000,70.000000
BinarySearchI,10000,81.000000
BinarySearchI,10000,119.000000
BinarySearchI,10000,87.000000
BinarySearchI,10000,100.000000
BinarySearchI,10000,103.000000
BinarySearchI,10000,130.000000
BinarySearchI,10000,330.000000
BinarySearchI,10000,111.000000
BinarySearchI,10000,109.000000
BinarySearchI,10000,103.000000
BinarySearchI,10000,112.000000
BinarySearchI,10000,151.000000
BinarySearchI,10000,181.000000
BinarySearchI,10000,155.000000
BinarySearchI,10000,176.000000
BinarySearchI,10000,841.000000
BinarySearchI,10000,732.000000
BinarySearchI,10000,231.000000
BinarySearchI,10000,1422.000000
BinarySearchI,10000,170.000000
BinarySearchI,10000,196.000000
BinarySearchI,10000,174.000000
BinarySearchI,10000,399.000000
BinarySearchI,10000,163.000000
BinarySearchI,10000,186.000000
BinarySearchI,10000,178.000000
BinarySearchI,10000,296.000000
BinarySearchI,10000,190.000000
BinarySearchI,10000,177.000000
BinarySearchI,10000,196.000000
BinarySearchR,100,214.000000
BinarySearchR,100,56.000000
BinarySearchR,100,38.000000
BinarySearchR,100,48.000000
BinarySearchR,100,49.000000
BinarySearchR,100,51.000000
BinarySearchR,100,54.000000
BinarySearchR,100,48.000000
BinarySearchR,100,53.000000
BinarySearchR,100,47.000000
BinarySearchR,100,52.000000
BinarySearchR,100,50.000000
BinarySearchR,100,52.000000
BinarySearchR,100,45.000000
BinarySearchR,100,31.000000
BinarySearchR,100,53.000000
BinarySearchR,100,48.000000
BinarySearchR,100,51.000000
BinarySearchR,100,49.000000
BinarySearchR,100,49.000000
BinarySearchR,100,51.000000
BinarySearchR,100,52.000000
BinarySearchR,100,49.000000
BinarySearchR,100,32.000000
BinarySearchR,100,55.000000
BinarySearchR,100,53.000000
BinarySearchR,100,49.000000
BinarySearchR,100,35.000000
BinarySearchR,100,54.000000
BinarySearchR,100,50.000000
BinarySearchR,1000,88.000000
BinarySearchR,1000,74.000000
BinarySearchR,1000,64.000000
BinarySearchR,1000,72.000000
BinarySearchR,1000,73.000000
BinarySearchR,1000,76.000000
BinarySearchR,1000,72.000000
BinarySearchR,1000,67.000000
BinarySearchR,1000,75.000000
BinarySearchR,1000,62.000000
BinarySearchR,1000,79.000000
BinarySearchR,1000,56.000000
BinarySearchR,1000,54.000000
BinarySearchR,1000,74.000000
BinarySearchR,1000,53.000000
BinarySearchR,1000,73.000000
BinarySearchR,1000,74.000000
BinarySearchR,1000,72.000000
BinarySearchR,1000,78.000000
BinarySearchR,1000,59.000000
BinarySearchR,1000,73.000000
BinarySearchR,1000,122.000000
BinarySearchR,1000,69.000000
BinarySearchR,1000,71.000000
BinarySearchR,1000,77.000000
BinarySearchR,1000,71.000000
BinarySearchR,1000,68.000000
BinarySearchR,1000,74.000000
BinarySearchR,1000,76.000000
BinarySearchR,1000,56.000000
BinarySearchR,10000,126.000000
BinarySearchR,10000,110.000000
BinarySearchR,10000,124.000000
BinarySearchR,10000,177.000000
BinarySearchR,10000,351.000000
BinarySearchR,10000,224.000000
BinarySearchR,10000,111.000000
BinarySearchR,10000,253.000000
BinarySearchR,10000,110.000000
BinarySearchR,10000,219.000000
BinarySearchR,10000,224.000000
BinarySearchR,10000,252.000000
BinarySearchR,10000,181.000000
BinarySearchR,10000,110.000000
BinarySearchR,10000,156.000000
BinarySearchR,10000,146.000000
BinarySearchR,10000,175.000000
BinarySearchR,10000,155.000000
BinarySearchR,10000,49.000000
BinarySearchR,10000,101.000000
BinarySearchR,10000,57.000000
BinarySearchR,10000,55.000000
BinarySearchR,10000,78.000000
BinarySearchR,10000,254.000000
BinarySearchR,10000,58.000000
BinarySearchR,10000,56.000000
BinarySearchR,10000,56.000000
BinarySearchR,10000,56.000000
BinarySearchR,10000,54.000000
BinarySearchR,10000,92.000000
IdadeRep,100,366.000000
IdadeRep,100,169.000000
IdadeRep,100,118.000000
IdadeRep,100,112.000000
IdadeRep,100,100.000000
IdadeRep,100,113.000000
IdadeRep,100,99.000000
IdadeRep,100,112.000000
IdadeRep,100,113.000000
IdadeRep,100,98.000000
IdadeRep,100,112.000000
IdadeRep,100,114.000000
IdadeRep,100,100.000000
IdadeRep,100,100.000000
IdadeRep,100,99.000000
IdadeRep,100,99.000000
IdadeRep,100,100.000000
IdadeRep,100,113.000000
IdadeRep,100,99.000000
IdadeRep,100,98.000000
IdadeRep,100,114.000000
IdadeRep,100,114.000000
IdadeRep,100,99.000000
IdadeRep,100,100.000000
IdadeRep,100,113.000000
IdadeRep,100,114.000000
IdadeRep,100,114.000000
IdadeRep,100,100.000000
IdadeRep,100,112.000000
IdadeRep,100,100.000000
IdadeRep,1000,410.000000
IdadeRep,1000,294.000000
IdadeRep,1000,182.000000
IdadeRep,1000,273.000000
IdadeRep,1000,243.000000
IdadeRep,1000,317.000000
IdadeRep,1000,297.000000
IdadeRep,1000,164.000000
IdadeRep,1000,155.000000
IdadeRep,1000,159.000000
IdadeRep,1000,159.000000
IdadeRep,1000,159.000000
IdadeRep,1000,171.000000
IdadeRep,1000,150.000000
IdadeRep,1000,144.000000
IdadeRep,1000,166.000000
IdadeRep,1000,160.000000
IdadeRep,1000,180.000000
IdadeRep,1000,146.000000
IdadeRep,1000,147.000000
IdadeRep,1000,162.000000
IdadeRep,1000,175.000000
IdadeRep,1000,158.000000
IdadeRep,1000,146.000000
IdadeRep,1000,147.000000
IdadeRep,1000,175.000000
IdadeRep,1000,158.000000
IdadeRep,1000,147.000000
IdadeRep,1000,148.000000
IdadeRep,1000,163.000000
IdadeRep,10000,1645.000000
IdadeRep,10000,1496.000000
IdadeRep,10000,1483.000000
IdadeRep,10000,1560.000000
IdadeRep,10000,1506.000000
IdadeRep,10000,1520.000000
IdadeRep,10000,1508.000000
IdadeRep,10000,1756.000000
IdadeRep,10000,1494.000000
IdadeRep,10000,1491.000000
IdadeRep,10000,1504.000000
IdadeRep,10000,1497.000000
IdadeRep,10000,1503.000000
IdadeRep,10000,1658.000000
IdadeRep,10000,1503.000000
IdadeRep,10000,1513.000000
IdadeRep,10000,2584.000000
IdadeRep,10000,3178.000000
IdadeRep,10000,3131.000000
IdadeRep,10000,3561.000000
IdadeRep,10000,4001.000000
IdadeRep,10000,3609.000000
IdadeRep,10000,2342.000000
IdadeRep,10000,3281.000000
IdadeRep,10000,1874.000000
IdadeRep,10000,1493.000000
IdadeRep,10000,1532.000000
IdadeRep,10000,1495.000000
IdadeRep,10000,1511.000000
IdadeRep,10000,1495.000000
IdadeRepII,100,3687.000000
IdadeRepII,100,1823.000000
IdadeRepII,100,1344.000000
IdadeRepII,100,1011.000000
IdadeRepII,100,823.000000
IdadeRepII,100,666.000000
IdadeRepII,100,578.000000
IdadeRepII,100,983.000000
IdadeRepII,100,2033.000000
IdadeRepII,100,1619.000000
IdadeRepII,100,1249.000000
IdadeRepII,100,1282.000000
IdadeRepII,100,1195.000000
IdadeRepII,100,1132.000000
IdadeRepII,100,1221.000000
IdadeRepII,100,903.000000
IdadeRepII,100,1062.000000
IdadeRepII,100,1095.000000
IdadeRepII,100,1177.000000
IdadeRepII,100,1125.000000
IdadeRepII,100,971.000000
IdadeRepII,100,1192.000000
IdadeRepII,100,1052.000000
IdadeRepII,100,1122.000000
IdadeRepII,100,1008.000000
IdadeRepII,100,1149.000000
IdadeRepII,100,1241.000000
IdadeRepII,100,1073.000000
IdadeRepII,100,1004.000000
IdadeRepII,100,1270.000000
IdadeRepII,1000,56232.000000
IdadeRepII,1000,35947.000000
IdadeRepII,1000,31304.000000
IdadeRepII,1000,28781.000000
IdadeRepII,1000,27940.000000
IdadeRepII,1000,26491.000000
IdadeRepII,1000,24964.000000
IdadeRepII,1000,24294.000000
IdadeRepII,1000,23934.000000
IdadeRepII,1000,23168.000000
IdadeRepII,1000,22378.000000
IdadeRepII,1000,22405.000000
IdadeRepII,1000,21471.000000
IdadeRepII,1000,21550.000000
IdadeRepII,1000,21047.000000
IdadeRepII,1000,21053.000000
IdadeRepII,1000,21210.000000
IdadeRepII,1000,20655.000000
IdadeRepII,1000,20976.000000
IdadeRepII,1000,21172.000000
IdadeRepII,1000,21224.000000
IdadeRepII,1000,20603.000000
IdadeRepII,1000,20681.000000
IdadeRepII,1000,21533.000000
IdadeRepII,1000,20766.000000
IdadeRepII,1000,20466.000000
IdadeRepII,1000,20970.000000
IdadeRepII,1000,20709.000000
IdadeRepII,1000,20189.000000
IdadeRepII,1000,19888.000000
IdadeRepII,10000,485944.000000
IdadeRepII,10000,506009.000000
IdadeRepII,10000,546716.000000
IdadeRepII,10000,596705.000000
IdadeRepII,10000,541447.000000
IdadeRepII,10000,520720.000000
IdadeRepII,10000,486223.000000
IdadeRepII,10000,480366.000000
IdadeRepII,10000,482055.000000
