Algorithm,Size,Time
QuickSortI,1000,0.000046
QuickSortI,1000,0.000027
QuickSortI,1000,0.000015
QuickSortI,1000,0.000012
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,1000,0.000011
QuickSortI,10000,0.000435
QuickSortI,10000,0.000390
QuickSortI,10000,0.000374
QuickSortI,10000,0.000370
QuickSortI,10000,0.000368
QuickSortI,10000,0.000367
QuickSortI,10000,0.000365
QuickSortI,10000,0.000365
QuickSortI,10000,0.000366
QuickSortI,10000,0.000363
QuickSortI,10000,0.000363
QuickSortI,10000,0.000360
QuickSortI,10000,0.000364
QuickSortI,10000,0.000364
QuickSortI,10000,0.000364
QuickSortI,10000,0.000364
QuickSortI,10000,0.000363
QuickSortI,10000,0.000362
QuickSortI,10000,0.000362
QuickSortI,10000,0.000364
QuickSortI,10000,0.000364
QuickSortI,10000,0.000363
QuickSortI,10000,0.000364
QuickSortI,10000,0.000370
QuickSortI,10000,0.000387
QuickSortI,10000,0.000382
QuickSortI,10000,0.000362
QuickSortI,10000,0.000367
QuickSortI,10000,0.000367
QuickSortI,10000,0.000366
QuickSortI,100000,0.003742
QuickSortI,100000,0.003778
QuickSortI,100000,0.003726
QuickSortI,100000,0.003762
QuickSortI,100000,0.003721
QuickSortI,100000,0.003717
QuickSortI,100000,0.003763
QuickSortI,100000,0.003718
QuickSortI,100000,0.003725
QuickSortI,100000,0.003714
QuickSortI,100000,0.003754
QuickSortI,100000,0.003730
QuickSortI,100000,0.003718
